task,seed,model,macro_f1,accuracy,balanced_accuracy
cmw_new_threeway,8,gcn_weighted,0.3333333333333333,0.5849056603773585,0.2992248062015504
cmw_new_threeway,8,graphsage_tinybert,0.25441930618401204,0.37735849056603776,0.27286821705426356
cmw_new_threeway,9,majority,0.3024054982817869,0.8301886792452831,0.3333333333333333
cmw_new_threeway,9,text_logreg,0.5770354143848121,0.7735849056603774,0.6393939393939394
cmw_new_threeway,9,text_mlp_oversampled,0.5490661601772713,0.7358490566037735,0.6242424242424242
cmw_new_threeway,9,gcn_weighted,0.2986111111111111,0.8113207547169812,0.32575757575757575
cmw_new_threeway,9,graphsage_tinybert,0.3024054982817869,0.8301886792452831,0.3333333333333333
cmw_new_pro_vs_not_pro,0,majority,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,0,text_logreg,0.5750286368843069,0.8679245283018868,0.5841836734693877
cmw_new_pro_vs_not_pro,0,text_mlp_oversampled,0.5435406698564593,0.8301886792452831,0.5637755102040816
cmw_new_pro_vs_not_pro,0,gcn_weighted,0.5177832919768404,0.7924528301886793,0.5433673469387755
cmw_new_pro_vs_not_pro,0,graphsage_tinybert,0.4781997187060478,0.6037735849056604,0.6709183673469388
cmw_new_pro_vs_not_pro,1,majority,0.4752475247524752,0.9056603773584906,0.5
cmw_new_pro_vs_not_pro,1,text_logreg,0.6505494505494506,0.8301886792452831,0.7270833333333333
cmw_new_pro_vs_not_pro,1,text_mlp_oversampled,0.4952380952380952,0.7547169811320755,0.50625
cmw_new_pro_vs_not_pro,1,gcn_weighted,0.42391304347826086,0.7358490566037735,0.40625
cmw_new_pro_vs_not_pro,1,graphsage_tinybert,0.45918367346938777,0.8490566037735849,0.46875
cmw_new_pro_vs_not_pro,2,majority,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,2,text_logreg,0.6054590570719602,0.8301886792452831,0.6785714285714286
cmw_new_pro_vs_not_pro,2,text_mlp_oversampled,0.5435406698564593,0.8301886792452831,0.5637755102040816
cmw_new_pro_vs_not_pro,2,gcn_weighted,0.5062111801242236,0.7735849056603774,0.5331632653061225
cmw_new_pro_vs_not_pro,2,graphsage_tinybert,0.5750286368843069,0.8679245283018868,0.5841836734693877
cmw_new_pro_vs_not_pro,3,majority,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,3,text_logreg,0.5062111801242236,0.7735849056603774,0.5331632653061225
cmw_new_pro_vs_not_pro,3,text_mlp_oversampled,0.5728937728937729,0.7924528301886793,0.6581632653061225
cmw_new_pro_vs_not_pro,3,gcn_weighted,0.5435406698564593,0.8301886792452831,0.5637755102040816
cmw_new_pro_vs_not_pro,3,graphsage_tinybert,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,4,majority,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,4,text_logreg,0.7180851063829787,0.8867924528301887,0.8239795918367347
cmw_new_pro_vs_not_pro,4,text_mlp_oversampled,0.670807453416149,0.8490566037735849,0.8035714285714286
cmw_new_pro_vs_not_pro,4,gcn_weighted,0.4752475247524752,0.9056603773584906,0.4897959183673469
cmw_new_pro_vs_not_pro,4,graphsage_tinybert,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,5,majority,0.4752475247524752,0.9056603773584906,0.5
cmw_new_pro_vs_not_pro,5,text_logreg,0.7180851063829787,0.8867924528301887,0.7583333333333333
cmw_new_pro_vs_not_pro,5,text_mlp_oversampled,0.5885093167701863,0.8113207547169812,0.6270833333333333
cmw_new_pro_vs_not_pro,5,gcn_weighted,0.47,0.8867924528301887,0.4895833333333333
cmw_new_pro_vs_not_pro,5,graphsage_tinybert,0.4175824175824176,0.7169811320754716,0.3958333333333333
cmw_new_pro_vs_not_pro,6,majority,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,6,text_logreg,0.6054590570719602,0.8301886792452831,0.6785714285714286
cmw_new_pro_vs_not_pro,6,text_mlp_oversampled,0.670807453416149,0.8490566037735849,0.8035714285714286
cmw_new_pro_vs_not_pro,6,gcn_weighted,0.4903846153846154,0.6226415094339622,0.6811224489795918
cmw_new_pro_vs_not_pro,6,graphsage_tinybert,0.4803921568627451,0.9245283018867925,0.5
